"notation","title","description","id"
"","BS Mathematik Primar 2004 500-100","",
"","BS Deutsch Primar 2004 500-100","",
"","BS Deutsch Sek1 2004 500-100","",
"","BS Mathematik Sek1 2004 500-100","",
"","BS Fremdsprachen Sek1 2004 500-100","",
